,NAME,COVER,STORYLINE
0,情定河州,,电影《情定临夏天使然》讲述临夏新一代青年人发奋图强、借助国家一带一路战略励志创业的故事。
1,我不是李小龙,,桀骜不驯的如龙武功高强，在一场比赛中，被打成重伤，被诊今生不能再用功夫。女友荆兰为激发他重新振作，按照他的原型制造了一个机器人，如龙能否恢复武功，他和机器人到底哪个功夫高强，又能否在机器人中迷失自己？
2,曼哈顿中国女孩,,平民女孩李莉只身初入曼哈顿求学，在历经迷失与困惑之后，凭借努力与善良收获了事业上的成功，同时帮助在美华侨保卫中国城、获得爱情，完成了生命中一次华丽的蜕变。
3,绿毛水怪,,王小波经典中篇小说《绿毛水怪》将改编电影。《绿毛水怪》是王小波早期手稿作品，以天马行空的想象，极具魔幻色彩的情感脉络，独树一帜的批评、反讽，受到广大书迷的喜爱。王小波曾创作电影剧本《东宫西宫》，此后尚未有作品改编成电影。据悉，李银河将担任《绿毛水怪》电影版的文学顾问。
4,为了祖国,,1932年上海虹口爆炸案后，韩国国父金九在褚辅成、朱爱宝这些普通群众的帮助下逃到嘉兴避难。金九和韩国临时政府要员与中国民众合力抗击日军。最终金九一行人在中国政府无私帮助下返回韩国。
5,天地无用,,张凡夕筹划中电影长片。
6,看不见的脸,,日本推理作家东野圭吾的小说在其本国不断被搬上大银幕，如今，中国电影公司也在推理小说领域跃跃欲试。据悉，日本当代小说家夏树静子的名作《看不见的脸》将被搬上中国大银幕，其电影版权已被曾推出过《云图》新原野电影购得版权，并即将于2015年春开拍。
7,你无法抵达的时间,,科幻作家潘海天创办的上海竺灿文化有限公司先后开始了三个项目，潘海天本人的《王二大爷的战争》，著名科幻作家王晋康的长篇小说《逃出母宇宙》以及青年科幻作家夏笳的小说《你无法抵达的时间》都将被改编为电影。
8,黑夜之神,,曾出品《西游记之大闹天宫》的星皓影业有限公司推出了《包公：黑夜之神》讲述了包拯率一众江湖英雄，直捣襄阳王老巢，救国家于危难的故事。
9,传送点,,在艺恩汇第二期电影创投沙龙上，还展示了四个电影项目，导演辛成江的《传送点》，讲述了寻宝游戏中虚拟世界与真实世界的故事，世界观颇为宏大。
10,王二大爷的战争,,科幻作家潘海天创办的上海竺灿文化有限公司先后开始了三个项目，潘海天本人的《王二大爷的战争》，著名科幻作家王晋康的长篇小说《逃出母宇宙》以及青年科幻作家夏笳的小说《你无法抵达的时间》都将被改编为电影。
11,致命复活,,身为顶级计算机专家的林栋为了营救深陷危难的妻子苏平，卷入一场危及全人类的灾难当中，不得不凭一己之力，对抗人类有史以来最强大的计算机。
12,行星绿谷,,"《行星绿谷》（Planet Green Valley）是上海欧映文化传播有限公司投资制作的科幻动画电影,主要讲述了未来人类开发和探索宇宙的故事。"
13,Alpha,,据外媒THR报道，狮门影业已计划拍摄一部科幻惊悚电影《Alpha》，故事来自威尔逊的一个创意，布拉德·皮特将于他Plan B公司的合伙人迪·加纳和Jeremy Kleiner一同完成影片的制片工作。电影的细节剧情还处于保密阶段，大体内容是个科幻求生的故事。威尔逊将根据自己的想法执笔剧本。新人Anthony Scott Burns将指导这部电影，这也是他的导演处女座。至今，布拉德·皮特表示暂不参演电影《Alpha》
14,我和僵尸有个约会,,《我和僵尸有个约会》网络大电影改编自同名电视剧，12月中旬开拍。目前已进入招聘演员阶段。
15,It Is What It Is,,
16,最寒冷的冬天是旧金山的夏季,,首部旅美新留学生的浪漫爱情故事
